richtig	바른, 정돈된, 실제로	correct, right, proper, real	Die Farben müssen im richtigen Verhältnis gemischt werden.	색상을 알맞을 비율로 섞어야 합니다.
gut	좋은, 우수한, 친절한	good, fine,  nice, cool	Das hast du gut gemacht!	잘했어!
falsch	가짜의, 틀린, 거짓	wrong, false, incorrect	Was habe ich denn falsch gemacht?	내가 뭘 잘못한 거지?
formell	형식적인, 공식적인	formal, official	Meinen Frack trage ich nur zu formellen Anlässen.	나는 공식적인 행사에서만 예복을 입는다.
modern	현대적인, 근대의	modern, fashionable	Minirock ist wieder modern.	미니 스커트가 다시 유행하고 있다
praktisch	실용적인, 실제적인	practical, functional, handy	Das Wörterbuch geht in die Tasche und ist daher sehr praktisch.	그 사전은 포켓에 들어가니 아주 편리하다
nett	친절한, 솔직히	nice, friendly, kind	Er ist allzusehr nett.	그는 너무나 사람이 좋다.
schlecht	나쁜, 불쾌한	poor, bad, sick	Nach dem vielen Wein war mir gestern ganz schlecht.	와인을 많이 마시고 나서 나는 어제 완전 뻗었다.
teuer	비싼, 친애하는, 값진	expensive, dear	Er hat ihr einen sehr teuren Ring geschenkt.	그는 그녀에게 비싼 반지를 선물했다.
süß	단, 귀여운, 기분좋은	sweet, cute	Der Kaffee ist zu süß.	커피가 너무 달다.
toll	멋진, 미친	great, awesome, fantastic	Das Konzert war einfach toll.	그 콘서트는 그냥 짱이었어.
viel	많은, 다수의	much, a lot	Der Unterschied ist jetzt viel größer geworden.	격차는 이제 더 커졌다.
attraktiv	매력적인	attractive, appealing, handsome	Sie sah attraktiv aus.	그녀는 매력적이었다.
elegant	우아한, 품위있는, 세련된	elegant, stylish	Sie trägt einen eleganten Mantel.	그녀는 세련된 코트를 입는다.
allein	홀로, 단독으로, 외로운	sole, alone	Er ist allein	그는 외롭다
dunkel	어두운, 암담한	dark, sombre	Im Winter wird es früher dunkel.	겨울에는 일찍 어두워진다.
interessant	흥미있는, 재밌는	interesting, attractive	Ich finde, sie ist eine interessante Frau.	나는 그녀가 재밌는 여자라고 생각해.
komisch	이상한, 우스운	funny, strange, weird, odd	Du bist heute komisch.	너 오늘 이상해.
hell	밝은, 맑은	light, bright, clear	Lass uns an einen helleren Ort gehen, wo ich die Verzierungsdetails besser sehen kann.	장식들이 더 잘 보이게 밝은 곳으로 가자.
